,joblinks
32,https://de.linkedin.com/jobs/view/business-analyst-fokus-ki-at-experis-switzerland-3915418983?position=37&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=ggAlmf9%2FFs1%2FyNadoLnJCg%3D%3D&trk=public_jobs_jserp-result_search-card
33,https://de.linkedin.com/jobs/view/professional-business-analyst-mit-schwerpunkt-ki-at-constellation-academy-3906482695?position=38&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=crcMWxuAjd3HjpMUal0Wow%3D%3D&trk=public_jobs_jserp-result_search-card
34,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-43-cl-27-2-at-moyyn-3587529775?position=39&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=OH6%2B9idI2JvGSLyWjdovXw%3D%3D&trk=public_jobs_jserp-result_search-card
35,https://de.linkedin.com/jobs/view/business-analyst-ceo-office-w-m-d-at-verve-group-3889885217?position=40&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=SNOVL%2BXREJI3fzNZllAFvQ%3D%3D&trk=public_jobs_jserp-result_search-card
36,https://de.linkedin.com/jobs/view/business-consultant-data-architecture-und-data-analysis-supply-solutions-m-w-d-at-msg-3683743082?position=41&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=nCNTuxq2aOKW7h0n0mt6Ww%3D%3D&trk=public_jobs_jserp-result_search-card
37,https://de.linkedin.com/jobs/view/business-analyst-m-f-d-proptech-innovation-at-aroundtown-3844887960?position=42&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=7Q0Y4CEYqFTvSkJE3%2FwNYA%3D%3D&trk=public_jobs_jserp-result_search-card
38,https://de.linkedin.com/jobs/view/business-analyst-value-added-services-m-w-d-at-verivox-gmbh-3808136547?position=43&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=8V13kNAUwQx9%2B4pWcoxSYA%3D%3D&trk=public_jobs_jserp-result_search-card
39,https://de.linkedin.com/jobs/view/business-analyst-maternity-cover-d-f-m-at-kleinanzeigen-3917116778?position=44&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=uEeLnX%2FkIFw9JNApuSljFg%3D%3D&trk=public_jobs_jserp-result_search-card
40,https://de.linkedin.com/jobs/view/business-operations-analyst-internship-at-vay-3912838777?position=45&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=x2iU3s1AJhHoA1oy3emRdg%3D%3D&trk=public_jobs_jserp-result_search-card
41,https://de.linkedin.com/jobs/view/business-analyst-consumer-sales-all-genders-at-p%C3%BFur-tele-columbus-3886240655?position=46&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=jgUEhebn6FV1u6Jly669uA%3D%3D&trk=public_jobs_jserp-result_search-card
42,https://de.linkedin.com/jobs/view/business-analyst-low-code-datenbanken-schnittstellenentwicklung-m-w-d-at-workwise-3903190289?position=47&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=n1ZGEpp6OAY4o3aBgdKPow%3D%3D&trk=public_jobs_jserp-result_search-card
43,https://de.linkedin.com/jobs/view/business-analyst-at-dabster-3818819649?position=48&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=h8swmBglFmgjb0zuQrU%2Fdg%3D%3D&trk=public_jobs_jserp-result_search-card
44,https://de.linkedin.com/jobs/view/business-analyst-all-genders-digitalisierung-at-lufthansa-industry-solutions-3827088238?position=49&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=uppYs4UAwzDLWgUteaRlcQ%3D%3D&trk=public_jobs_jserp-result_search-card
45,https://de.linkedin.com/jobs/view/duales-studium-bwl-versicherung-b-a-at-devk-versicherungen-3708928337?position=50&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=1d9Xt0oAJI1RKeWYMDGI8g%3D%3D&trk=public_jobs_jserp-result_search-card
46,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-randstad-deutschland-3909452658?position=51&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=i0pabKu8S1bmIRnJx2bNTw%3D%3D&trk=public_jobs_jserp-result_search-card
47,https://de.linkedin.com/jobs/view/senior-digital-marketing-analyst-m-w-d-at-peak-ace-ag-3903432614?position=52&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=I7shSj5qPUygLY7M%2F76vog%3D%3D&trk=public_jobs_jserp-result_search-card
48,https://de.linkedin.com/jobs/view/business-analyst-f-m-d-at-e-on-digital-technology-3889445542?position=53&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=3YUoCuAq8CKkZtvVY2cb6g%3D%3D&trk=public_jobs_jserp-result_search-card
49,https://de.linkedin.com/jobs/view/business-analyst-d-m-w-at-liqid-3911482653?position=54&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=aQwUBo0RVzSw8CWu2sUMOg%3D%3D&trk=public_jobs_jserp-result_search-card
50,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-at-mediamarktsaturn-3801293970?position=55&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=iy2M7qkPvlGdMuTuFe90gQ%3D%3D&trk=public_jobs_jserp-result_search-card
51,https://de.linkedin.com/jobs/view/business-analyst-salesforce-m-w-d-at-iu-international-university-of-applied-sciences-3905893126?position=56&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=DPGwjadyrbcQx8lXc4Kv8g%3D%3D&trk=public_jobs_jserp-result_search-card
52,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-banking-at-selby-jennings-3901097946?position=57&pageNum=0&refId=FgmS%2FCdkXPBvlwY2QOsiiA%3D%3D&trackingId=OamBXqZXIpmzFdLumI9xAA%3D%3D&trk=public_jobs_jserp-result_search-card
